"Beak depth, mm","Beak length, mm",band,species,year
8.05,9.25,20123,fortis,73
10.45,11.35,20126,fortis,73
9.55,10.15,20128,fortis,73
8.75,9.95,20129,fortis,73
10.15,11.55,20133,fortis,73
9.85,11.15,20136,fortis,73
8.85,10.05,20138,fortis,73
10.15,11.25,20142,fortis,73
8.15,9.15,20143,fortis,73
8.55,9.25,20146,fortis,73
10.65,11.75,20149,fortis,73
8.05,9.05,20150,fortis,73
9.75,11.15,20152,fortis,73
10.15,11.25,20155,fortis,73
9.85,10.45,20156,fortis,73
9.75,10.65,20157,fortis,73
8.35,10.05,20163,fortis,73
8.55,10.45,20164,fortis,73
10.25,11.45,20169,fortis,73
9.35,11.15,20172,fortis,73
10.15,10.95,20174,fortis,73
8.55,9.55,20176,fortis,73
8.85,10.65,20177,fortis,73
9.85,10.05,20178,fortis,73
10.75,11.25,20181,fortis,73
9.85,10.85,20183,fortis,73
8.45,10.05,20203,fortis,73
10.55,11.95,20206,fortis,73
8.35,9.85,20211,fortis,73
8.25,9.35,20215,fortis,73
10.95,12.05,20217,fortis,73
9.15,10.35,20218,fortis,73
8.85,10.65,20219,fortis,73
10.05,10.95,20221,fortis,73
9.55,10.25,20229,fortis,73
12.15,12.65,20230,fortis,73
9.55,10.65,20233,fortis,73
9.75,10.75,20235,fortis,73
9.25,10.15,20239,fortis,73
9.05,10.25,20243,fortis,73
8.45,10.35,20244,fortis,73
9.55,10.55,20246,fortis,73
9.95,10.95,20247,fortis,73
10.65,11.65,20249,fortis,73
7.95,9.85,20250,fortis,73
10.65,11.15,20253,fortis,73
9.15,10.05,20256,fortis,73
10.05,11.15,20258,fortis,73
9.75,10.95,20263,fortis,73
10.05,11.05,20268,fortis,73
9.65,10.65,20269,fortis,73
9.45,10.85,20271,fortis,73
10.75,11.05,20272,fortis,73
9.85,11.05,20275,fortis,73
11.15,11.55,20276,fortis,73
10.85,11.25,20277,fortis,73
8.55,10.25,20278,fortis,73
10.25,11.05,20282,fortis,73
8.35,9.95,20292,fortis,73
9.15,10.65,20296,fortis,73
9.35,9.95,20299,fortis,73
10.15,11.05,20301,fortis,73
