food density,cross-sectional area (µm^2)
low,1840.0
low,2090.0
low,2169.0
low,1988.0
low,2212.0
low,2339.0
low,1989.0
low,2144.0
low,2290.0
low,1920.0
low,2280.0
low,1809.0
low,2158.0
low,1800.0
low,2133.0
low,2060.0
low,2160.0
low,2001.0
low,2030.0
low,2088.0
low,1951.0
low,2460.0
low,2021.0
low,2010.0
low,2139.0
low,2160.0
low,2106.0
low,2171.0
low,2113.0
low,2179.0
low,1890.0
low,2179.0
low,2021.0
low,1969.0
low,2150.0
low,1900.0
low,2267.0
low,1711.0
low,1901.0
low,2114.0
low,2112.0
low,2361.0
low,2130.0
low,2061.0
low,2121.0
low,1832.0
low,2210.0
low,2130.0
low,2153.0
low,2009.0
low,2100.0
low,2252.0
low,2143.0
low,2252.0
low,2222.0
low,2121.0
low,2409.0
high,1683.0
high,2061.0
high,1792.0
high,1852.0
high,2091.0
high,1781.0
high,1912.0
high,1802.0
high,1751.0
high,1731.0
high,1892.0
high,1951.0
high,1809.0
high,1683.0
high,1787.0
high,1840.0
high,1821.0
high,1910.0
high,1930.0
high,1800.0
high,1833.0
high,1683.0
high,1671.0
high,1680.0
high,1692.0
high,1800.0
high,1821.0
high,1882.0
high,1642.0
high,1749.0
high,1712.0
high,1661.0
high,1701.0
high,2141.0
high,1863.0
high,1752.0
high,1740.0
high,1721.0
high,1660.0
high,1930.0
high,2030.0
high,1851.0
high,2131.0
high,1828.0
